mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_max_depth;param_max_features;param_min_samples_leaf;param_min_samples_split;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.20612168312072754;0.024658570125605125;0.008714103698730468;0.0023993763351059794;20;;12;20;95;{'max_depth': 20, 'max_features': None, 'min_samples_leaf': 12, 'min_samples_split': 20, 'n_estimators': 95};0.7653631284916201;0.8314606741573034;0.8146067415730337;0.8033707865168539;0.8258426966292135;0.8081288054736049;0.02345917118900259;56
0.25254230499267577;0.014902093336628576;0.01368088722229004;0.005501278943546622;16;sqrt;7;4;158;{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 158};0.8100558659217877;0.8426966292134831;0.8314606741573034;0.7640449438202247;0.8202247191011236;0.8136965664427844;0.02712092280902236;34
0.23713302612304688;0.020603254038367214;0.010118484497070312;0.001021940661745778;12;log2;16;19;147;{'max_depth': 12, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 19, 'n_estimators': 147};0.7988826815642458;0.8314606741573034;0.8089887640449438;0.7191011235955056;0.8202247191011236;0.7957315924926245;0.03983564045163196;131
0.18480658531188965;0.019318820688165955;0.008812808990478515;0.0019426271829852764;3;;10;19;108;{'max_depth': 3, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 19, 'n_estimators': 108};0.7430167597765364;0.8314606741573034;0.8314606741573034;0.8033707865168539;0.8089887640449438;0.8036595317305881;0.032409371859358736;69
0.3045671463012695;0.028017088418170136;0.012520360946655273;0.0012091997505121184;16;log2;13;8;181;{'max_depth': 16, 'max_features': 'log2', 'min_samples_leaf': 13, 'min_samples_split': 8, 'n_estimators': 181};0.7877094972067039;0.8314606741573034;0.8146067415730337;0.7359550561797753;0.8089887640449438;0.7957441466323519;0.03300357145910799;129
0.24217514991760253;0.022052161999697128;0.010385894775390625;0.0011855425887235594;16;sqrt;4;16;144;{'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 16, 'n_estimators': 144};0.8044692737430168;0.848314606741573;0.8258426966292135;0.7865168539325843;0.8370786516853933;0.8204444165463561;0.02231085565606935;15
0.17509355545043945;0.00577531639185431;0.008693885803222657;0.0006293052393142085;17;log2;10;12;112;{'max_depth': 17, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 12, 'n_estimators': 112};0.7988826815642458;0.8202247191011236;0.8202247191011236;0.7415730337078652;0.8258426966292135;0.8013495700207143;0.03127866873411766;84
0.13473939895629883;0.009062109804653863;0.005882644653320312;0.0004679168459831505;14;;4;5;60;{'max_depth': 14, 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 60};0.7877094972067039;0.8595505617977528;0.8258426966292135;0.7921348314606742;0.848314606741573;0.8227104387671835;0.02892235396424176;7
0.02274003028869629;0.0009406130514179506;0.003877878189086914;0.0013097289965523459;13;sqrt;5;17;12;{'max_depth': 13, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 17, 'n_estimators': 12};0.7932960893854749;0.8314606741573034;0.8314606741573034;0.7584269662921348;0.8370786516853933;0.810344611135522;0.030307025915281654;50
0.05350537300109863;0.00926251940600932;0.0038015365600585936;0.000668878934730594;2;log2;4;9;30;{'max_depth': 2, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 9, 'n_estimators': 30};0.7988826815642458;0.8314606741573034;0.8146067415730337;0.7191011235955056;0.7921348314606742;0.7912372104701525;0.03854072131198358;169
0.00603938102722168;0.0011991391788967807;0.0017703056335449218;0.00041519266942946075;2;;20;9;2;{'max_depth': 2, 'max_features': None, 'min_samples_leaf': 20, 'min_samples_split': 9, 'n_estimators': 2};0.6983240223463687;0.8202247191011236;0.8033707865168539;0.7191011235955056;0.7921348314606742;0.7666310966041052;0.04857463619363948;200
